id_persona;nombre;apellido;genero;fecha_nacimiento;pais;localidad;codigo_postal;calle;numero;numero_telefono
1;Elena;Gonzalez;Female;06/03/2006;España;Zamora;7572;Plaza Lisandro Arribas 83 Apt.;938;+34 621 940 079
2;Camila;Perez;Male;12/10/1957;España;Lleida;13110;Alameda de Rolando Roldan;85;+34709 89 99 63
3;Sofia;Perez;Female;07/08/1946;España;Tarragona;82183;Paseo Priscila Colom 46 Apt.;61;+34 729750675
4;Andres;Rivera;Male;25/08/1971;España;Soria;77586;Via de Balduino Nevado;89;+34 977177751
5;Elena;Sanchez;Female;26/12/1919;España;Madrid;62756;C. Josefa Mosquera;11;+34729 455 554
6;Lucia;Torres;Male;30/10/1973;España;Soria;96343;Alameda Cirino Gárate;95;+34874 777 245
7;Diego;Rodriguez;Female;24/06/1948;España;Albacete;81877;Alameda de Itziar Gil 798 Apt.;6;+34706347946
8;Sofia;Reyes;Male;15/09/1935;España;Toledo;99231;Acceso de Guiomar Andrade;2;+34729 78 76 43
9;Sofia;Reyes;Female;31/03/1954;España;Segovia;85136;Cuesta Iván Gras;8;+34702489427
10;Juan;Morales;Male;06/10/2000;España;Pontevedra;12215;Vial Haroldo Segura;95;+34 622817834
11;Lucia;Rivera;Female;08/02/1952;España;Cádiz;26958;Ronda de Paula Torralba;27;+34 727 84 92 60
12;Pedro;Sanchez;Male;28/06/1984;España;Zaragoza;32681;Glorieta de Selena España;3;+34 986 25 91 08
13;Sofia;Morales;Female;18/01/1940;España;Ávila;81072;Paseo de Jesusa Hurtado;35;+34744 632 455
14;Santiago;Hernandez;Male;04/09/1947;España;Asturias;44496;Via de Lidia Hernandez 47 Piso;91;+34719 066 671
15;Miguel;Gomez;Female;20/06/1947;España;Pontevedra;11405;Avenida Odalys Jordán 86 Apt.;36;+34712692159
16;Daniel;Rivera;Female;24/11/1965;España;La Coruña;33457;Plaza de Eustaquio Suárez;20;+34 727 12 32 35
